"day" "month" "year" "streamflow"
"1" 1 8 1989 0.00035
"2" 2 8 1989 0.000329
"3" 3 8 1989 0.000309
"4" 4 8 1989 0.00029
"5" 5 8 1989 0.000273
"6" 6 8 1989 0.000256
"7" 7 8 1989 0.000241
"8" 8 8 1989 0.000226
"9" 9 8 1989 0.000212
"10" 10 8 1989 0.000199
"11" 11 8 1989 0.000187
"12" 12 8 1989 0.000176
"13" 13 8 1989 0.000165
"14" 14 8 1989 0.000155
"15" 15 8 1989 0.000146
"16" 16 8 1989 0.000137
"17" 17 8 1989 0.000129
"18" 18 8 1989 0.000121
"19" 19 8 1989 0.000113
"20" 20 8 1989 0.000107
"21" 21 8 1989 1e-04
"22" 22 8 1989 9.4e-05
"23" 23 8 1989 8.8e-05
"24" 24 8 1989 8.3e-05
"25" 25 8 1989 7.8e-05
"26" 26 8 1989 7.3e-05
"27" 27 8 1989 6.9e-05
"28" 28 8 1989 6.5e-05
"29" 29 8 1989 6.1e-05
"30" 30 8 1989 5.7e-05
"31" 31 8 1989 5.3e-05
"32" 1 9 1989 5e-05
"33" 2 9 1989 4.7e-05
"34" 3 9 1989 4.4e-05
"35" 4 9 1989 4.2e-05
"36" 5 9 1989 3.9e-05
"37" 6 9 1989 3.7e-05
"38" 7 9 1989 3.4e-05
"39" 8 9 1989 3.2e-05
"40" 9 9 1989 3e-05
"41" 10 9 1989 2.9e-05
"42" 11 9 1989 2.7e-05
"43" 12 9 1989 2.5e-05
"44" 13 9 1989 2.4e-05
"45" 14 9 1989 2.2e-05
"46" 15 9 1989 2.1e-05
"47" 16 9 1989 2e-05
"48" 17 9 1989 1.8e-05
"49" 18 9 1989 1.7e-05
"50" 19 9 1989 1.6e-05
"51" 20 9 1989 1.5e-05
"52" 21 9 1989 1.4e-05
"53" 22 9 1989 1.3e-05
"54" 23 9 1989 1.3e-05
"55" 24 9 1989 1.2e-05
"56" 25 9 1989 1.1e-05
"57" 26 9 1989 1e-05
"58" 27 9 1989 1e-05
"59" 28 9 1989 9e-06
"60" 29 9 1989 9e-06
"61" 30 9 1989 8e-06
"62" 1 10 1989 8e-06
"63" 2 10 1989 7e-06
"64" 3 10 1989 7e-06
"65" 4 10 1989 6e-06
"66" 5 10 1989 6e-06
"67" 6 10 1989 6e-06
"68" 7 10 1989 5e-06
"69" 8 10 1989 5e-06
"70" 9 10 1989 5e-06
"71" 10 10 1989 4e-06
"72" 11 10 1989 4e-06
"73" 12 10 1989 4e-06
"74" 13 10 1989 4e-06
"75" 14 10 1989 3e-06
"76" 15 10 1989 3e-06
"77" 16 10 1989 3e-06
"78" 17 10 1989 3e-06
"79" 18 10 1989 3e-06
"80" 19 10 1989 2e-06
"81" 20 10 1989 2e-06
"82" 21 10 1989 2e-06
"83" 22 10 1989 0.030883
"84" 23 10 1989 0.041603
"85" 24 10 1989 0.05234
"86" 25 10 1989 0.049161
"87" 26 10 1989 0.046175
"88" 27 10 1989 0.04337
"89" 28 10 1989 0.040736
"90" 29 10 1989 0.038262
